Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),18.62,1221.03,No
Female,0,No,No,72,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.91,4857.16,No
Female,1,No,No,25,Yes,Yes,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,39.11,953.13,No
Female,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),52.74,3135.49,No
Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,83.6,2590.89,Yes
Male,0,No,No,63,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,32.37,2079.08,No
Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),54.08,679.12,Yes
Male,0,No,No,63,No,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),73.79,4471.89,No
Male,0,No,No,1,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Mailed check,41.65,41.65,No
Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),63.81,3164.47,No
Male,0,Yes,No,70,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.77,5020.12,No
Female,0,No,No,8,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),61.51,473.33,Yes
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),69.71,4811.17,No
Male,0,No,Yes,5,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,No,Electronic check,75.71,387.88,Yes
Female,0,Yes,No,39,Yes,Yes,DSL,No,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,44.8,1778.09,No
Male,0,Yes,No,23,No,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),20.95,502.31,No
Female,0,No,No,68,Yes,No,DSL,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.93,2225.49,No
Male,0,No,Yes,52,Yes,No,DSL,No,No,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,29.05,1483.39,No
Female,0,No,Yes,4,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,101.97,401.54,Yes
Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No,One year,Yes,Electronic check,18,823.33,No
Male,0,No,No,21,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.84,1697.65,Yes
Male,0,No,Yes,56,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),44.46,2486.45,No
Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,96.06,6551.99,Yes
Female,1,No,No,59,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),52.34,3228.42,No
Female,1,No,Yes,7,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),65.93,444.4,Yes
Female,0,Yes,No,49,No,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),80.52,4072.98,Yes
Male,0,Yes,No,16,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,102.63,1695.38,Yes
Male,1,No,No,17,Yes,No,DSL,No internet service,No,No,No,No internet service,No,One year,Yes,Bank transfer (automatic),47.9,805.26,No
Male,0,Yes,No,34,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),46.51,1519.67,No
Female,0,No,No,33,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,80.34,2781.13,Yes
Female,0,Yes,No,26,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,18,475.28,No
Male,0,No,No,66,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),18,1245.28,No
Male,1,No,Yes,63,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,76.01,4780.8,No
Male,0,Yes,Yes,41,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),85.08,3451.72,Yes
Male,0,Yes,No,58,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,75.01,4240.59,No
Female,0,Yes,No,10,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Two year,Yes,Electronic check,62.07,650.72,Yes
Female,0,No,Yes,15,No,No,DSL,No,Yes,Yes,No,No,No internet service,Two year,Yes,Mailed check,48.85,714.67,No
Female,0,No,No,42,Yes,No phone service,No,No,No,No,No,No,No,One year,Yes,Electronic check,112.63,4505.18,Yes
Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,116.53,6650.49,Yes
Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,68.23,1145.65,Yes
Female,1,Yes,No,60,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.49,2605.7,No
Female,0,Yes,No,9,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,34.73,316.78,No
Female,0,No,No,36,No,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.94,2767.76,Yes
Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),28.15,1003.49,No
Male,0,Yes,No,48,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,28.84,1318.29,No
Female,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),50.47,2596.9,No
Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),80.22,5403.18,No
Male,0,Yes,Yes,68,Yes,No,No,No,No,No,No,No,No,Two year,No,Electronic check,109.06,7203.84,Yes
Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,72.52,1630.08,Yes
Male,1,No,No,6,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),79.9,470.45,Yes
Female,0,Yes,No,26,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),94.48,2373.75,Yes
Male,0,No,No,3,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Electronic check,91.68,277.17,Yes
Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),48.44,2447.07,No
Female,0,Yes,Yes,60,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,91.14,5343.16,Yes
Male,0,No,Yes,63,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,95.95,6118.2,Yes
Male,1,No,No,65,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,One year,No,Mailed check,74.32,4946.67,No
Female,1,Yes,Yes,52,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Electronic check,69.09,3678.78,No
Male,0,No,Yes,14,No,No,DSL,Yes,No,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),82.98,1159.66,Yes
Male,1,No,No,72,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),79.85,5722.92,No
Male,0,No,No,68,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18,1259.21,No
Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.87,2113.43,Yes
Female,0,Yes,No,71,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.37,6878.42,Yes
Female,1,Yes,No,10,Yes,No,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Mailed check,94.66,962.19,Yes
Female,0,No,Yes,57,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,76.31,4310.31,No
Female,0,Yes,No,66,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,69.44,4679.28,No
Female,0,No,No,50,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),53.09,2589.89,No
Male,0,Yes,No,14,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,61.56,846.75,Yes
Female,0,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),86.82,1444.22,Yes
Female,1,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),76.54,4100.78,No
Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Mailed check,92.11,3996.75,Yes
Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.42,1994,No
Male,1,No,Yes,22,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,97.51,2076.32,Yes
Male,0,No,No,68,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,46.45,3012.01,No
Male,1,No,No,19,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),71.08,1340.31,Yes
Male,0,No,No,66,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),48.14,3332.58,No
Female,0,No,No,39,Yes,No phone service,No,No,No,No,No,No,No,One year,No,Electronic check,62.05,2510.43,No
Female,0,No,No,19,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),120,2310.3,Yes
Male,1,Yes,Yes,16,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),80.28,1330.86,Yes
Female,0,Yes,Yes,54,No,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,71.76,3911.53,No
Male,0,Yes,No,25,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.36,2648.78,Yes
Male,0,Yes,No,18,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),18,313.42,No
Male,0,No,No,23,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,60.24,1406.73,No
Male,0,No,Yes,11,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,50.01,533.22,Yes
Female,0,No,Yes,39,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,39.27,1518.88,No
Male,1,Yes,Yes,68,Yes,No phone service,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),19.14,1343.92,No
Female,0,No,No,25,No,No,DSL,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),58.43,1406.59,Yes
Female,0,Yes,No,63,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,One year,No,Mailed check,85.81,5205.48,No
Male,0,No,No,30,Yes,No phone service,No,No,No,No,No,No,No,One year,Yes,Electronic check,60.59,1767.6,No
Female,1,No,No,45,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,Two year,No,Mailed check,88.97,4024.44,Yes
Female,0,Yes,No,61,No,No,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,67.14,3993.86,No
Male,0,Yes,No,51,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,99.99,5101.12,Yes
Male,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,Yes,Mailed check,49.92,440.38,Yes
Male,0,No,No,2,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,18,36.02,No
Male,0,No,No,5,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),18,88,No
Male,0,No,Yes,62,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,50.07,3253.35,No
Female,0,Yes,No,69,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,38.6,2661.46,No
Female,0,Yes,No,52,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,47.28,2518.46,No
Male,0,No,No,5,Yes,No phone service,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),99.16,505.74,Yes
Male,0,No,No,59,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,19.97,1177.12,No
Female,0,Yes,No,68,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.24,7300.56,Yes
Male,0,Yes,No,9,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.83,367.86,No
Male,0,No,Yes,22,No,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),27.68,619.98,No
Male,0,Yes,Yes,27,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),60.85,1636.36,No
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,109.97,1053.72,Yes
Male,0,Yes,Yes,61,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,43.63,2533.14,No
Female,0,No,No,51,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),46.97,2354.24,No
Female,0,No,No,10,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,48.98,472.67,No
Male,0,No,Yes,6,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,99.5,621.25,Yes
Female,0,No,No,62,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),51.61,3096.09,No
Male,0,No,Yes,5,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),78.39,387.81,Yes
Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),68.62,4905.27,No
Female,0,No,Yes,63,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),61.7,4009.71,No
Female,1,Yes,No,56,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,One year,Yes,Bank transfer (automatic),50.04,2795.99,No
Male,0,No,Yes,59,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),120,6854.24,Yes
Female,1,Yes,No,63,No,No,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,120,7386.8,Yes
Male,0,Yes,No,59,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),38.5,2253.09,No
Male,0,Yes,No,51,Yes,Yes,DSL,No,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,32.86,1653.17,No
Male,0,Yes,Yes,50,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),66.22,3260.9,No
Female,0,Yes,Yes,4,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,18,69.35,No
Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,66.45,3321.43,Yes
Male,0,No,No,32,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No,One year,Yes,Mailed check,120,3659.43,Yes
Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.03,2384.14,No
Male,1,No,No,52,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),97.41,5308.62,Yes
Female,0,No,No,34,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,109.08,3767.96,Yes
Male,0,No,No,36,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,39.15,1389.02,No
Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,70.35,4750.22,No
Male,0,No,Yes,43,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.62,3402.5,Yes
Female,0,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),86.87,1322.37,Yes
Male,0,Yes,No,59,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,89.05,5349.25,Yes
Male,0,Yes,No,53,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,98.67,5428.3,Yes
Male,0,No,Yes,19,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,One year,Yes,Mailed check,41.54,751.78,No
Female,0,No,Yes,41,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),70.22,2943.85,No
Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.47,5401.75,Yes
Male,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No,Month-to-month,No,Electronic check,112.71,6171.33,Yes
Female,1,No,No,55,Yes,No phone service,DSL,No,Yes,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),71.75,3912.58,No
Female,1,Yes,No,19,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),49.05,966.84,No
Female,0,No,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.06,5987.99,Yes
Female,0,No,Yes,59,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,81.09,4903.65,No
Male,0,No,Yes,65,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),80.44,5274.5,No
Male,0,No,No,68,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,88.27,5725.23,Yes
Female,1,No,No,28,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),36.48,992.14,No
Female,0,No,No,18,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),90.41,1558.83,Yes
Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),69.64,1739.43,Yes
Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Two year,Yes,Mailed check,99.24,1794.19,Yes
Male,0,Yes,Yes,55,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),65.61,3580.1,No
